Duration	Speed	Motion
15317.5	125	10
37942.25	125	25
75647.5	125	50
113352.75	125	75
151061	125	100
188768.75	125	125
226473.25	125	150
7986.75	250	10
19301	250	25
38155.75	250	50
57011.75	250	75
75866	250	100
94723.25	250	125
113578.75	250	150
4627.75	500	10
10289.75	500	25
19721.5	500	50
29151.75	500	75
38579	500	100
48013.5	500	125
57442.25	500	150
4285.5	700	10
9361.75	700	25
17848.75	700	50
26339.75	700	75
34825.75	700	100
43316.5	700	125
51807.5	700	150
53024.5	125	35
173688	125	115
211392	125	140
26842.5	250	35
87185.75	250	115
106037	250	140
22527.75	300	35
72811.75	300	115
88554.75	300	140
14063.5	500	35
44240	500	115
53670.5	500	140
12954	600	35
40586.75	600	115
49219.5	600	140
12757	700	35
39923.25	700	115
48413.25	700	140

