Zaman	RECORD	N	LOAD	TORK	PT-01	PT-02	PT-03	PT-04	PT-14	W_f_in	W_f_out	TT-FUEL	TT-11	TT-12	TT-07	TT-08	TT-09	TT-10	TT-18	TT-19	TT-20	TT-21	TT-22	TT-24	TT-26	TT-27	TT-29	TT-30	TT-32	TT-28	TT-16	TT-15	TT-17	TT-31	TT-35	TT-36	TT-37	TT-38	TT-34	TT-25	TT-33	TT-23	TT-39	TT-40	TT-06	TT-05	PT-12	PT-11	PT-13	TT-03	TT-04	PT-09	PT-10	TT-01	TT-02	PT-07	PT-08	TT-14	PT-16	TAMB	PAMB	HUM	PT-FUEL	PT-KUMANDA	P	W_f_diff	be	P_oil_Diff	EMERGENCY_STATUS	PT-20	AIR_FLOW	WATER_FLOW_HIGH	WATER_FLOW_LOW	TORQMETER	FUEL_INLET_FLOW	FUEL_RETURN_1	FUEL_RETURN_2
16:56:30.4148000	30,18	1511,2	1147,3	0	1,5	1,6	1,4	1,5	3,3	568,7	166,6	36,8	41,7	48,3	177,2	182,6	54,5	53,8	503	504,7	492,6	536,9	494,4	481	507,6	561,9	528,3	537,3	678,4	527,8	523,7	504,2	523,3	657,5	644,9	657,8	662,7	692,7	625,2	472,9	652,4	489,4	671,3	679,8	81,9	66,3	7,4	5,9	5,5	68,6	81,1	2,4	5,2	40,6	47,1	1,9	4,1	7,7	2,4	8,2	865,1	14,6	1,2	4,5	0	0	0	0	0	946,2	15400,4	44	77	10158,7	569,6	167,6	0,802
16:56:30.6648000	30,18	1512,9	1140,8	1061,9	1,5	1,3	1,4	1,6	3,2	569,6	167,6	36,7	41,8	46,8	177,2	182,7	54,5	53,8	502,8	504,8	492,5	536,9	494,4	481	507,6	561,9	528,4	537,4	678,4	527,7	523,6	504,2	523,3	657,5	644,9	657,8	662,7	692,7	625,2	472,9	652,4	489,4	671,3	679,8	81,9	66,3	7,4	5,9	5,5	68,5	81,1	2,4	5,3	40,5	47,1	1,9	4,3	7,7	2,3	15,4	891	23,2	1,2	4,5	0	402,1	0	1,5	0	947,3	15389,1	44	77	10158,7	569,6	167,6	0,802
16:56:30.8948000	30,18	1512,9	1140,8	1061,9	1,5	1,3	1,4	1,6	3,2	569,6	167,6	36,7	41,8	46,8	177,2	182,7	54,5	53,8	502,8	504,8	492,5	536,9	494,4	481	507,6	561,9	528,4	537,4	678,4	527,7	523,6	504,2	523,3	657,5	644,9	657,8	662,7	692,7	625,2	472,9	652,4	489,4	671,3	679,8	81,9	66,3	7,4	5,9	5,5	68,5	81	2,4	5,3	40,5	47,1	2	4,1	7,6	2,3	19	904	27,5	1,2	4,5	2239,1	402	0	1,5	0	947,2	15471,2	44	77	10161,1	570	167,8	0,803
16:56:31.1448000	30,18	1514,8	1141,1	1055,9	1,5	1,3	1,3	1,3	3,1	569,9	167,8	36,7	41,8	56,8	177,2	183,4	54,5	53,8	502,7	504,6	492,6	536,8	494,4	480,9	507,6	561,9	528,4	537,2	678,7	527,6	523,8	505	523,3	657,5	645,1	657,8	662,7	692,8	625,3	473	652,3	489,3	671,3	679,6	81,9	66,3	7,4	5,9	5,5	68,5	81	2,4	5,3	40,5	47,1	2	4,1	7,6	2,3	19	904	27,5	1,2	4,5	2239,1	402	0	1,5	0	947,2	15471,2	44	77	10161,1	570	167,8	0,803
16:56:31.2948000	30,18	1514,8	1141,1	1055,9	1,5	1,3	1,3	1,3	3,1	569,9	167,8	36,7	41,8	56,8	177,2	183,4	54,5	53,8	502,7	504,6	492,6	536,8	494,4	480,9	507,6	561,9	528,4	537,2	678,7	527,6	523,8	505	523,3	657,5	645,1	657,8	662,7	692,8	625,3	473	652,3	489,3	671,3	679,6	81,9	66,3	7,4	5,9	5,5	68,5	81	2,4	5,3	40,5	47,1	2	4,1	7,6	2,3	19	904	27,5	1,2	4,5	2239,1	402	0	1,5	0	947,2	15471,2	44	77	10161,1	570	167,8	0,803
16:56:31.5548000	30,18	1516,2	1146,4	1056,1	1,5	1,6	1,4	1,3	3,2	570,3	166,6	36,7	41,8	52,5	177,2	182,5	54,5	53,8	502,7	504,7	492,6	536,9	494,4	481	507,7	561,9	528,6	537,4	678,6	527,8	523,8	505	523,3	657,5	645,1	657,8	662,7	692,8	625,3	473	652,3	489,3	671,3	679,6	81,8	66,3	7,4	5,9	5,4	68,5	80,9	2,4	5,2	40,6	47,1	1,9	4,1	7,6	2,3	21,1	911,7	30,1	1,2	4,5	2229,2	402,1	35,9	1,5	0	946,9	15659,9	44	77	10164,6	570,4	166,6	0,804
16:56:31.7048000	30,18	1516,2	1146,4	1056,1	1,5	1,6	1,4	1,3	3,2	570,3	166,6	36,7	41,8	52,5	177,2	182,5	54,5	53,8	502,7	504,7	492,6	536,9	494,4	481	507,7	561,9	528,6	537,4	678,6	527,8	523,8	505	523,3	657,5	645,1	657,8	662,7	692,8	625,3	473	652,3	489,3	671,3	679,6	81,8	66,3	7,4	5,9	5,4	68,5	80,9	2,4	5,2	40,6	47,1	1,9	4,1	7,6	2,3	21,1	911,7	30,1	1,2	4,5	2229,2	402,1	35,9	1,5	0	946,9	15659,9	44	77	10164,6	570,4	166,6	0,804
16:56:31.9648000	30,18	1517,6	1148,1	1061	1,5	1,4	1,4	1,6	3,2	570,7	166,6	36,7	41,7	50,4	177,2	182,3	54,5	53,8	502,5	504,6	492,5	536,8	494,4	481	507,8	561,9	528,4	537,4	678,8	527,7	523,6	505,7	523,2	657,6	645,4	657,9	662,7	692,8	625,3	473,2	652,3	489,2	671,2	679,5	81,8	66,3	7,4	5,9	5,3	68,5	80,8	2,4	5,2	40,6	47,1	1,9	4,2	7,5	2,3	22,6	916,9	31,8	1,2	4,5	2231,7	403,7	30,1	1,5	0	945,9	15718,9	44	77	10168	570,7	166,6	0,802
16:56:32.1348000	30,18	1517,6	1148,1	1061	1,5	1,4	1,4	1,6	3,2	570,7	166,6	36,7	41,7	50,4	177,2	182,3	54,5	53,8	502,5	504,6	492,5	536,8	494,4	481	507,8	561,9	528,4	537,4	678,8	527,7	523,6	505,7	523,2	657,6	645,4	657,9	662,7	692,8	625,3	473,2	652,3	489,2	671,2	679,5	81,8	66,3	7,4	5,9	5,3	68,5	80,8	2,4	5,2	40,6	47,1	1,9	4,2	7,5	2,3	22,6	916,9	31,8	1,2	4,5	2231,7	403,7	30,1	1,5	0	945,9	15718,9	44	77	10168	570,7	166,6	0,802
16:56:32.2948000	30,18	1517,6	1148,1	1061	1,5	1,4	1,4	1,6	3,2	570,7	166,6	36,7	41,7	50,4	177,2	182,3	54,5	53,8	502,5	504,6	492,5	536,8	494,4	481	507,8	561,9	528,4	537,4	678,8	527,7	523,6	505,7	523,2	657,6	645,4	657,9	662,7	692,8	625,3	473,2	652,3	489,2	671,2	679,5	81,8	66,3	7,4	5,9	5,3	68,5	80,8	2,4	5,2	40,6	47,1	1,9	4,2	7,5	2,3	22,6	916,9	31,8	1,2	4,5	2231,7	403,7	30,1	1,5	0	945,9	15718,9	44	77	10168	570,7	166,6	0,802
